Mask,Mask_Chin,Mask_Mouth_Chin,Mask_Nose_Mouth
0.9452887537993921,0.025,0.0472027972027972,0.35
0.0,0.875,0.017482517482517484,0.0
0.0425531914893617,0.05,0.9213286713286714,0.0
0.0121580547112462,0.05,0.013986013986013986,0.65
