vit_large_16_epoch,vit_large_16_train_time,vit_large_16_train_accuracy,vit_large_16_train_loss,vit_large_16_eval_time,vit_large_16_eval_accuracy,vit_large_16_eval_loss
1,497.68689086700033,0.4651535153388977,1.380371334694676,21.86931442599962,0.4193061888217926,1.061508224740467
2,494.2863346289996,0.4682614505290985,1.2348611792235482,21.449646028000643,0.5052790641784668,0.957014737985073
3,463.37413861300047,0.4951026737689972,1.0210331740476335,19.223659727000268,0.5052790641784668,0.9790269947339687
4,481.96412273999886,0.5039555430412292,0.9983928942550124,21.870536995000293,0.5052790641784668,0.9746414529072573
5,492.6385187529995,0.5008476376533508,0.9832041092928485,21.28079573800278,0.5052790641784668,0.9690824000903744
6,494.1107943679999,0.5050857067108154,0.9961845428060286,21.711978794999595,0.5052790641784668,1.0543359724824426
7,493.9763364339997,0.49915239214897156,0.98949657417911,21.52256813600252,0.5052790641784668,0.9643290348542042
8,492.4019535359985,0.5040497183799744,0.9800364237807075,21.442426413999783,0.5052790641784668,0.9564897809093355
9,492.57507606500076,0.5035788416862488,0.9781858895228708,21.890476499000215,0.5052790641784668,0.9610373337344347
10,492.3462289679992,0.49905821681022644,0.9722832352972722,21.759755694998603,0.5052790641784668,0.9586082033442156
11,492.65435753400016,0.503767192363739,0.9701545603150903,21.406486415999098,0.5052790641784668,1.0109753506215988
12,498.58536166299746,0.5044264793395996,0.9658687518890978,21.631035117003194,0.5052790641784668,0.9604004767146046
13,493.4002325809997,0.5011301636695862,0.9640322583254772,21.709113853998133,0.5052790641784668,0.9514110994554753
14,492.08685688699916,0.5219438672065735,0.9572917661731538,21.68846549400041,0.535444974899292,0.9382891921076479
15,492.4377287839998,0.6002072095870972,0.9052066881455906,21.446230622001167,0.6802413463592529,0.7968891177601763
16,493.4052853280009,0.6942927241325378,0.7947739639576825,21.238187155999185,0.6794871687889099,0.8275440095236938
17,493.6983411809997,0.7035223245620728,0.7787954626749815,21.232333865002147,0.697586715221405,0.7908047292027538
18,494.8031350759993,0.7174609303474426,0.7415621840228557,21.371930528999656,0.6794871687889099,0.815409822701329
19,494.2603351020007,0.7173667550086975,0.7407413293220023,21.384432189999643,0.7247360348701477,0.7276747827256607
20,498.152173642,0.7002260684967041,0.7787228959005057,21.91717692399834,0.7496229410171509,0.6884315407653739
