vit_base_16_pretrained_epoch,vit_base_16_pretrained_train_time,vit_base_16_pretrained_train_accuracy,vit_base_16_pretrained_train_loss,vit_base_16_pretrained_eval_time,vit_base_16_pretrained_eval_accuracy,vit_base_16_pretrained_eval_loss
1,62.106220459000006,0.8603315353393555,0.41363650443617245,7.594335913000009,0.8914027214050293,0.3166245639234287
2,59.51526275699999,0.9134488701820374,0.2642918949040524,7.6433647860000065,0.9170437455177307,0.24343802149479205
3,59.47638235000002,0.9288001656532288,0.22100263117781174,7.574609348999957,0.92533940076828,0.22023296571964593
4,59.77599222199996,0.9398192167282104,0.19425068330317932,7.678310150000016,0.9298642873764038,0.20807011315365903
5,59.89709878900004,0.9419853091239929,0.17876691853827195,7.912583482000002,0.9298642873764038,0.19851336377598403
6,59.57581082500002,0.9457525014877319,0.16951970766719665,8.19542777800001,0.9291101098060608,0.19510453206741252
7,59.84835453299996,0.9462234377861023,0.16224175696095453,7.81894846199998,0.9351432919502258,0.18274963917955195
8,60.99864888600007,0.949519693851471,0.15472516935844277,7.68352043699997,0.9366515874862671,0.1766665599464831
9,61.08658716299999,0.9537577629089355,0.14724492756862115,8.138425548999976,0.9411764740943909,0.1728284619692404
10,59.58148255499998,0.9539461731910706,0.1398551463940472,7.563986874999955,0.9404223561286926,0.17198987824345066
11,59.83985969899993,0.9556413888931274,0.13571051388900368,7.807274898999935,0.9404223561286926,0.18494312119070402
12,59.83473965899998,0.9563948512077332,0.1332446160172087,7.598095101000013,0.9411764740943909,0.16697757296702442
13,59.42898034000007,0.957054078578949,0.13044989288953496,8.18868535599995,0.9374057650566101,0.16568363870340955
14,59.926889822000135,0.9564890265464783,0.12781706147133057,7.896281470999838,0.9404223561286926,0.1644494225064554
15,59.81333039600008,0.9589377045631409,0.1237230198982353,7.539631002000078,0.9449472427368164,0.16078193375607602
16,59.78613192500006,0.962799072265625,0.1178596442290609,7.63634682299994,0.9434389472007751,0.16384692710359353
17,59.493166401999815,0.9611037969589233,0.11630488958025208,7.776226161000068,0.9381598830223083,0.1708976921272853
18,60.89419930300005,0.9625164866447449,0.11523820094681433,7.70472308300009,0.9404223561286926,0.1651696790330011
19,60.2125934149999,0.962799072265625,0.11415938845117969,7.646530935999863,0.9426847696304321,0.15968882030671178
20,59.563056052999855,0.9639291763305664,0.11200555330179218,8.18902929900014,0.9449472427368164,0.158243134808846
