resnet50_pretrained_epoch,resnet50_pretrained_train_time,resnet50_pretrained_train_accuracy,resnet50_pretrained_train_loss,resnet50_pretrained_eval_time,resnet50_pretrained_eval_accuracy,resnet50_pretrained_eval_loss
1,41.98811176399977,0.7830100059509277,0.9547889667078445,5.4818845900008455,0.8612368106842041,0.5210046510283763
2,42.03068944200095,0.815031111240387,1.0758104542879723,5.332565707998583,0.878582239151001,0.5400825438530747
3,41.90545342099904,0.8340554237365723,1.1311767900226088,5.624993958999767,0.8687782883644104,0.6796411877676978
4,41.84912504699969,0.8386701941490173,1.137068304304376,5.642381756999384,0.8589743971824646,0.9574761460500508
5,41.40398417899996,0.8536447882652283,0.9725640481519359,5.26491387400165,0.8099547624588013,1.337947793786041
6,42.65334821400029,0.8706912994384766,0.7639910363192423,5.490707879000183,0.803167462348938,1.2582566566464568
7,42.025765671000045,0.8575061559677124,0.9657915221975738,5.685060439000154,0.8725490570068359,0.7487487804687102
8,43.01987543699943,0.8502542972564697,1.1402888749666706,5.22391621800125,0.8936651945114136,0.6143591591391002
9,41.87582004199976,0.8513844609260559,1.5666547209204376,5.44064683599936,0.8710407614707947,0.8815433404084714
10,41.522277076001046,0.8693727850914001,1.053730716693005,5.339339968999411,0.8883861303329468,0.8288311085054688
11,41.06467112399878,0.8738933801651001,1.0676572014771835,5.328057550999802,0.8536953330039978,1.0811517082824533
12,43.18477270099902,0.8851949572563171,0.7962394608750689,5.485090563000995,0.8815988302230835,0.8784074525259213
13,30.79450748399904,0.8884912729263306,0.7592285534247931,5.174764299999879,0.9027149677276611,0.6220148350323765
14,42.0129698439996,0.8781315088272095,0.8971867743406616,5.468596324999453,0.9019607901573181,0.5513261994069766
15,42.20740456599924,0.8823695778846741,0.8316667036042629,5.633252174000518,0.9019607901573181,0.6719908694743103
16,42.038001685999916,0.8894330859184265,0.7549925135107869,5.666132854999887,0.8861237168312073,0.8068055499842507
17,43.217632038999,0.8957430720329285,0.6727968296009396,5.455547510999168,0.8401206731796265,1.141575564575524
18,43.58506821500123,0.8950838446617126,0.691425545245037,5.662329553997552,0.6146304607391357,5.074091474830677
19,42.09245729800023,0.8955547213554382,0.7255763450400229,5.303663070000766,0.8929110169410706,0.7042300495048239
20,43.40363376900132,0.8618384003639221,1.231010374062605,5.654850112998247,0.8966817855834961,0.7460114468453888
