vit_huge_14_pretrained_epoch,vit_huge_14_pretrained_train_time,vit_huge_14_pretrained_train_accuracy,vit_huge_14_pretrained_train_loss,vit_huge_14_pretrained_eval_time,vit_huge_14_pretrained_eval_accuracy,vit_huge_14_pretrained_eval_loss
1,427.83670198200707,0.830853283405304,0.4803108579247073,55.70771897100349,0.8627451062202454,0.38322671991667595
2,441.66307820800284,0.8932002186775208,0.32036935177242765,55.63437178300228,0.8921568989753723,0.2945017793958903
3,441.7544487690029,0.9142965078353882,0.2692338658756715,55.78436738500022,0.9140271544456482,0.2578859042887594
4,440.7683062750002,0.9247504472732544,0.23898354603546357,55.52814674599358,0.9200603365898132,0.23752366642426942
5,441.6539845549996,0.9326615333557129,0.21884005935117112,55.50433211299969,0.9238311052322388,0.22992051146688505
6,440.0233414719987,0.9353927373886108,0.2049280593687811,55.497613268998975,0.9283559918403625,0.21719405261819358
7,441.0710841659966,0.938500702381134,0.19490048940049476,55.28542756200477,0.92533940076828,0.2070157727279994
8,441.86266078100016,0.942267894744873,0.18514546029793158,55.319100797998544,0.930618405342102,0.20050834710421786
9,441.28607813899725,0.945846676826477,0.1772754393934777,55.30304349499784,0.9268476963043213,0.1961407769993959
10,441.7577982120056,0.9486721158027649,0.16854052898753136,55.463461495994125,0.9291101098060608,0.1914791950722805
11,443.85088678100146,0.949519693851471,0.16313626743638374,55.61168254200311,0.9366515874862671,0.19008302257071794
12,440.4319131270022,0.9507440328598022,0.1588052213514765,55.448431611999695,0.9351432919502258,0.18376793787669993
13,440.42773030600074,0.9517800211906433,0.15439525176591176,55.61384199400345,0.9374057650566101,0.1818651889828715
14,441.2576018730033,0.9544170498847961,0.15049482981382645,55.53752266000083,0.9343891739845276,0.1794676524706376
15,440.59197258399945,0.9555472135543823,0.14645160988140216,55.25804037600028,0.9389140605926514,0.17735654682055857
16,440.8465810659982,0.9573366045951843,0.14128952219529348,55.54395706800278,0.9404223561286926,0.17765472044951955
17,440.32449495000037,0.9586551189422607,0.13832882867961488,55.33180583500507,0.9396681785583496,0.1738861459862233
18,440.6971637720053,0.958843469619751,0.13567250649018306,55.70272368899896,0.9389140605926514,0.17400887021921338
19,440.33101888799865,0.9593144059181213,0.13394345880960942,55.1514166220004,0.9396681785583496,0.1705984972855624
20,441.4891403299989,0.9600678086280823,0.13147110258397307,55.77447981899604,0.9411764740943909,0.168334241411445
