resnet50_aug_pretrained_epoch,resnet50_aug_pretrained_train_time,resnet50_aug_pretrained_train_accuracy,resnet50_aug_pretrained_train_loss,resnet50_aug_pretrained_eval_time,resnet50_aug_pretrained_eval_accuracy,resnet50_aug_pretrained_eval_loss
1,41.967406291998486,0.7830100059509277,0.9547889667078445,5.356607179001003,0.8612368106842041,0.5210046510283763
2,43.58596153699909,0.815031111240387,1.0758104542879723,5.618767666001077,0.878582239151001,0.5400825438530747
3,41.62115485700269,0.8340554237365723,1.1311767900226088,5.250493891999213,0.8687782883644104,0.6796411877676978
4,43.19422708499769,0.8386701941490173,1.137068304304376,5.713253916001122,0.8589743971824646,0.9574761460500508
5,42.41523660100211,0.8536447882652283,0.9725640481519359,5.239938915001403,0.8099547624588013,1.337947793786041
6,42.13863297200078,0.8706912994384766,0.7639910363192423,5.485382964001474,0.803167462348938,1.2582566566464568
7,41.873476652002864,0.8575061559677124,0.9657915221975738,5.582053705002181,0.8725490570068359,0.7487487804687102
8,41.627027597998676,0.8502542972564697,1.1402888749666706,5.2089395280017925,0.8936651945114136,0.6143591591391002
9,42.68261542499749,0.8513844609260559,1.5666547209204376,5.697315361998335,0.8710407614707947,0.8815433404084714
10,43.43741655899794,0.8693727850914001,1.053730716693005,5.569621590999304,0.8883861303329468,0.8288311085054688
11,43.428824845002964,0.8738933801651001,1.0676572014771835,5.691090952001105,0.8536953330039978,1.0811517082824533
12,41.80417487199884,0.8851949572563171,0.7962394608750689,5.239953696996963,0.8815988302230835,0.8784074525259213
13,41.892890839000756,0.8884912729263306,0.7592285534247931,5.419617147999816,0.9027149677276611,0.6220148350323765
14,41.51740350899854,0.8781315088272095,0.8971867743406616,5.247995742000057,0.9019607901573181,0.5513261994069766
15,42.5168208569994,0.8823695778846741,0.8316667036042629,5.58408032999796,0.9019607901573181,0.6719908694743103
16,42.452662588999374,0.8894330859184265,0.7549925135107869,5.278502719000244,0.8861237168312073,0.8068055499842507
17,41.99536538999746,0.8957430720329285,0.6727968296009396,5.625094849001471,0.8401206731796265,1.141575564575524
18,41.90843226599827,0.8950838446617126,0.691425545245037,5.301737038000283,0.6146304607391357,5.074091474830677
19,43.05401324400009,0.8955547213554382,0.7255763450400229,5.54155794899998,0.8929110169410706,0.7042300495048239
20,43.00828405100037,0.8618384003639221,1.231010374062605,5.528746963998856,0.8966817855834961,0.7460114468453888
