vit_large_16_augment_pretrained_epoch,vit_large_16_augment_pretrained_train_time,vit_large_16_augment_pretrained_train_accuracy,vit_large_16_augment_pretrained_train_loss,vit_large_16_augment_pretrained_eval_time,vit_large_16_augment_pretrained_eval_accuracy,vit_large_16_augment_pretrained_eval_loss
1,177.1427123129979,0.9032774567604065,0.2716703851749206,21.837150348997966,0.9313725829124451,0.1777264283545776
2,174.17438764500184,0.934733510017395,0.18397349899118623,21.845970382000814,0.9524887204170227,0.1444324719892368
3,171.9627756120026,0.9530985355377197,0.13342315518295675,21.578583788999822,0.9524887204170227,0.14693814084821608
4,173.57481128800282,0.9612921476364136,0.10830654409347584,22.153467502997955,0.9426847696304321,0.1585696769167485
5,173.6125704670012,0.9686381816864014,0.09056518961815628,21.54673523800011,0.9396681785583496,0.17268031705760847
6,172.74563038599808,0.969297468662262,0.08742135451682245,22.144432936001976,0.959276020526886,0.13572290083632255
7,173.65096725699914,0.9711810350418091,0.0847805375461343,22.011083445999247,0.9585219025611877,0.12941854716690193
8,174.0765830590026,0.9699566960334778,0.08409302123136542,22.156064808001247,0.960030198097229,0.12991172485868271
9,172.56558088499878,0.974854052066803,0.07259136031773507,21.93184915600068,0.9502262473106384,0.13382019791162122
10,172.47118298900023,0.9777736067771912,0.06353129767197929,21.650818770001933,0.9555053114891052,0.14706158604989808
11,172.9854389510001,0.9805989861488342,0.05706726278950783,22.15912709300028,0.9577677249908447,0.14052330939236854
12,173.41248530400117,0.9816349744796753,0.05698293808156147,21.60733092100054,0.9524887204170227,0.14022569704750273
13,173.53895555100098,0.9801281094551086,0.0593350970106015,21.947597484999278,0.9562594294548035,0.13361342974515636
14,173.1112882430025,0.9820116758346558,0.05528961949192168,21.67757088700091,0.9555053114891052,0.13507361406162605
15,172.81421427999885,0.9829534888267517,0.05433557616767082,21.888707969999814,0.9547511339187622,0.14899403421520108
16,172.13625778099959,0.9843661785125732,0.046052202641148066,21.793744992999564,0.953242838382721,0.15152996006389435
17,172.52918883800157,0.986909031867981,0.04335519485791784,21.875841314002173,0.9517345428466797,0.14927399170277345
18,172.57735754699752,0.985967218875885,0.04585489225028271,21.867938866998884,0.9547511339187622,0.1501966573956084
19,173.54920302399842,0.9854021668434143,0.0440647319881042,21.904391379001027,0.9577677249908447,0.1349918272488134
20,172.38976251500208,0.98615562915802,0.04209918918441206,21.967346795001504,0.9547511339187622,0.13983901796320264
