vit_huge_14_epoch,vit_huge_14_train_time,vit_huge_14_train_accuracy,vit_huge_14_train_loss,vit_huge_14_eval_time,vit_huge_14_eval_accuracy,vit_huge_14_eval_loss
1,1289.445834694001,0.48248258233070374,1.5870823849502718,57.72010484399652,0.5052790641784668,0.9587999458226683
2,1316.7501377279987,0.4859672486782074,0.9712534588280091,55.878164189001836,0.5052790641784668,0.953008514364021
3,1314.6317527549982,0.56545490026474,0.91504027211839,54.93066997599817,0.7413272857666016,0.6894584496816
4,1279.7754038959974,0.7200979590415955,0.7427332105890778,55.195152471002075,0.6085972785949707,0.8494751913694955
5,1280.3451817050009,0.7641740441322327,0.6686000796355956,55.01731413900416,0.7624434232711792,0.6910432655347418
6,1278.6448999839995,0.7764174342155457,0.6300718451561194,55.235531449005066,0.7730015516281128,0.620470872112349
7,1281.4872578659997,0.7867771983146667,0.6118345462034193,55.248572260999936,0.803167462348938,0.5699339116141088
8,1280.737602152003,0.5452062487602234,0.8968511301147711,55.031074377999175,0.5120663642883301,0.9509419898641595
9,1287.1108408859945,0.4987756609916687,0.9638145567782969,55.487576530002116,0.5113122463226318,0.9476429351674306
10,1237.7215132979982,0.513090968132019,0.9563080539450086,54.951874673999555,0.5588235259056091,0.9577803032790194
11,1283.423074780003,0.5809003710746765,0.9171298500687237,54.963256264003576,0.5331825017929077,0.9295118811623183
12,1282.8614891579928,0.652288556098938,0.8327657599349461,54.90234115299245,0.540723979473114,0.9058237210657801
13,1285.1284943479986,0.7107741832733154,0.7613977892494489,55.064009363995865,0.7541478276252747,0.7018917786409772
14,1282.6863361319993,0.7386513352394104,0.7198791225025222,55.25499744899571,0.7624434232711792,0.6409738033245771
15,1285.5795560230035,0.7553211450576782,0.6767803743344104,55.16279592399951,0.7571644186973572,0.6609772034719879
16,1282.746189471989,0.7801846265792847,0.626953352371118,55.418718480999814,0.7556561231613159,0.6880770432643402
17,1280.8774837389938,0.7926163077354431,0.6012305620139232,54.920914718997665,0.7443438768386841,0.6919795909438557
18,1283.117954982008,0.7984554767608643,0.5831070099931851,55.50406282400945,0.7209653258323669,0.7466282001268091
19,1283.8990505090042,0.8019401431083679,0.5732826373237611,55.144767591002164,0.8167421221733093,0.5399276972895833
20,1282.8204258019978,0.8055189251899719,0.5586255324394336,55.731312923002406,0.8122172355651855,0.5238918836479992
