vit_base_16_augment_pretrained_epoch,vit_base_16_augment_pretrained_train_time,vit_base_16_augment_pretrained_train_accuracy,vit_base_16_augment_pretrained_train_loss,vit_base_16_augment_pretrained_eval_time,vit_base_16_augment_pretrained_eval_accuracy,vit_base_16_augment_pretrained_eval_loss
1,59.597473331999936,0.8603315353393555,0.41363650443617245,7.540079505999529,0.8914027214050293,0.3166245639234287
2,60.822327574000155,0.9134488701820374,0.2642918949040524,7.5634427559998585,0.9170437455177307,0.24343802149479205
3,61.0738890319999,0.9288001656532288,0.22100263117781174,7.729734632000145,0.92533940076828,0.22023296571964593
4,59.51751678399978,0.9398192167282104,0.19425068330317932,7.717828418999488,0.9298642873764038,0.20807011315365903
5,59.61918032599988,0.9419853091239929,0.17876691853827195,7.572574130000248,0.9298642873764038,0.19851336377598403
6,59.54714542700003,0.9457525014877319,0.16951970766719665,7.831678120000106,0.9291101098060608,0.19510453206741252
7,60.351094221000494,0.9462234377861023,0.16224175696095453,7.660573342999669,0.9351432919502258,0.18274963917955195
8,59.91226617800021,0.949519693851471,0.15472516935844277,7.637108249000448,0.9366515874862671,0.1766665599464831
9,59.949744548000126,0.9537577629089355,0.14724492756862115,7.773176845999842,0.9411764740943909,0.1728284619692404
10,59.84743175999938,0.9539461731910706,0.1398551463940472,7.909952347999933,0.9404223561286926,0.17198987824345066
11,59.93397295900013,0.9556413888931274,0.13571051388900368,7.602528988999438,0.9404223561286926,0.18494312119070402
12,59.83447152299959,0.9563948512077332,0.1332446160172087,7.63395076300003,0.9411764740943909,0.16697757296702442
13,59.78165793399967,0.957054078578949,0.13044989288953496,7.693580850999751,0.9374057650566101,0.16568363870340955
14,59.658757911000066,0.9564890265464783,0.12781706147133057,7.476400919999833,0.9404223561286926,0.1644494225064554
15,60.513434321000204,0.9589377045631409,0.1237230198982353,7.875442311999905,0.9449472427368164,0.16078193375607602
16,59.70552396000039,0.962799072265625,0.1178596442290609,7.817337289999159,0.9434389472007751,0.16384692710359353
17,59.98963917899982,0.9611037969589233,0.11630488958025208,7.541784973000176,0.9381598830223083,0.1708976921272853
18,59.51489795500038,0.9625164866447449,0.11523820094681433,8.08411382400027,0.9404223561286926,0.1651696790330011
19,59.882199867000054,0.962799072265625,0.11415938845117969,7.687095541000417,0.9426847696304321,0.15968882030671178
20,61.35648773400044,0.9639291763305664,0.11200555330179218,7.54736223800046,0.9449472427368164,0.158243134808846
