resnet152_epoch,resnet152_train_time,resnet152_train_accuracy,resnet152_train_loss,resnet152_eval_time,resnet152_eval_accuracy,resnet152_eval_loss
1,265.3966038230001,0.595309853553772,1.1568342565277647,10.668627479999941,0.7488687634468079,1.2509113195974542
2,265.34639542800005,0.8271802663803101,0.497825308898834,10.713277323000057,0.8981900811195374,0.37587203857451
3,264.90919551700017,0.888867974281311,0.3132425775068373,10.649549119000312,0.9260935187339783,0.2254521669665433
4,265.6620293830001,0.9247504472732544,0.21289697270380797,10.547158600999865,0.92533940076828,0.2875184350693388
5,266.126518861,0.9444339871406555,0.1549791042468593,10.696015200999682,0.9238311052322388,0.22694153190754793
6,266.30657768499987,0.9540403485298157,0.13436943054813902,10.714198483000018,0.9230769276618958,0.2064250902993377
7,268.1087265739998,0.9592202305793762,0.11729524076391236,10.649294883000039,0.9547511339187622,0.12460612652607003
8,265.73453191000044,0.9654361009597778,0.10253760823142327,10.281108257000596,0.9675716757774353,0.08904938845225184
9,265.2326906019998,0.9688265323638916,0.08919744025665005,10.631290911999713,0.9607843160629272,0.12690638828085704
10,267.18525885300005,0.9770202040672302,0.0692010306321611,10.480639293999957,0.9502262473106384,0.15985697246441788
11,265.4960765140004,0.9789037704467773,0.05965386056931969,10.727237908999996,0.9630467891693115,0.09907941303781229
12,254.8376864540005,0.9796572327613831,0.05704227667502753,10.659978937000233,0.9645550847053528,0.1263433769183742
13,265.4595419799998,0.9810699224472046,0.05465439322192652,10.723137112000586,0.9796380400657654,0.06202191899078975
14,266.6230308189997,0.9838953018188477,0.052408381303282285,10.654629852000653,0.9720965623855591,0.1414191887914491
15,266.8516919600006,0.9853079915046692,0.04501794459727097,10.669142990999717,0.9751131534576416,0.0687812712657821
16,265.91795672399985,0.9845545291900635,0.042474230713531194,10.683945748000042,0.9622926115989685,0.10693277293787412
17,264.9374688150001,0.9905820488929749,0.027108901604697956,10.533501382000395,0.9758672714233398,0.07647635469309295
18,265.76309592300004,0.9881333708763123,0.03363262015782741,10.705066686999999,0.9683257937431335,0.24146848743583404
19,265.3182544679994,0.9922772645950317,0.024873630865885708,10.566271878000407,0.9773755669593811,0.07840659138634293
20,265.3820753170003,0.9911471605300903,0.028427019561960355,10.674437978999777,0.9683257937431335,0.4469156275152555
