resnet50_aug_epoch,resnet50_aug_train_time,resnet50_aug_train_accuracy,resnet50_aug_train_loss,resnet50_aug_eval_time,resnet50_aug_eval_accuracy,resnet50_aug_eval_loss
1,124.33023231899999,0.6789414286613464,1.0519475517726076,5.466741041999995,0.8197587132453918,0.48220293990267526
2,121.37598134000004,0.8543040156364441,0.4078858038643857,5.839470449000032,0.9215686321258545,0.23339260444831705
3,121.44438957400001,0.9150499105453491,0.25498140334906183,5.345193913999992,0.9509804248809814,0.14808601780961722
4,121.44572400300007,0.944999098777771,0.16566299319963354,5.587065163000034,0.9449472427368164,0.17374295226633998
5,122.03439593899998,0.9579017162322998,0.13283305164252193,5.707972795999922,0.9328808784484863,0.2066323083585204
6,121.69759996100004,0.96261066198349,0.11405163980926775,5.74497321900003,0.9479638338088989,0.14321327108798862
7,121.65731762300004,0.9651535153388977,0.10095867300602572,5.698701545000063,0.9743589758872986,0.07667258233945187
8,121.27047917900006,0.970145046710968,0.08530146951083638,5.367298086999881,0.9758672714233398,0.07015620505335063
9,121.59782185799986,0.973912239074707,0.07315113182949036,5.670627974000126,0.9720965623855591,0.07777361276641707
10,121.16436666999994,0.9818233251571655,0.05399035549272256,5.7084654220000175,0.9705882668495178,0.0842829221110864
11,120.60160080800006,0.9847429394721985,0.0443465497914003,5.602895389999958,0.953997015953064,0.1778559164187129
12,111.12409905100003,0.9843661785125732,0.048506536004730184,5.428644128000087,0.9751131534576416,0.08793820067561954
13,121.22609018900016,0.9849312901496887,0.0485336217756735,5.3900899710001795,0.9803921580314636,0.047978768212224535
14,121.33397880200005,0.9870032072067261,0.03789169601344008,5.621491020999883,0.9788838624954224,0.0740029257784972
15,120.97873245999995,0.9903936982154846,0.030560903348847656,5.5723863489999985,0.9766214489936829,0.055243740976440615
16,120.5327187360001,0.992654025554657,0.024178831426093717,5.346120724999764,0.9698340892791748,0.10791573348937297
17,120.65863275899983,0.9950085282325745,0.016426164175836536,5.209080980999715,0.9773755669593811,0.06430212081576131
18,120.92543883400003,0.9916180372238159,0.023383150908375307,5.331354278000163,0.9841629266738892,0.05269653239038769
19,122.24348812900007,0.987945020198822,0.038539409110317016,5.679503021000073,0.9781297445297241,0.051854089608340106
20,120.69287339799985,0.9903936982154846,0.02809247847432861,5.365266282999983,0.9841629266738892,0.040790486680804885
