vit_base_16_augment_epoch,vit_base_16_augment_train_time,vit_base_16_augment_train_accuracy,vit_base_16_augment_train_loss,vit_base_16_augment_eval_time,vit_base_16_augment_eval_accuracy,vit_base_16_augment_eval_loss
1,157.97150636700007,0.47513657808303833,1.9645013624518397,7.7370209549999345,0.5052790641784668,0.9645578602320468
2,158.2272729689994,0.49303072690963745,0.9723100098855842,7.633218001000387,0.5052790641784668,0.9558966382776091
3,158.00153052099995,0.48926353454589844,0.9669340520193402,7.825288859000466,0.5052790641784668,0.9562940766548859
4,157.34046875400054,0.49915239214897156,0.9604484568232308,7.565222077000726,0.5052790641784668,0.9556836276392412
5,158.30660016399997,0.49971747398376465,0.9590463767866335,7.79763344299954,0.5052790641784668,0.9586219460356469
6,158.0700300870003,0.6110378503799438,0.8923338854530702,7.675688268999693,0.4841628968715668,0.9969252475606191
7,158.47678499999984,0.5065925717353821,0.9687482466646498,7.585206611999638,0.5052790641784668,0.9585862709925725
8,158.34385783400012,0.4975513517856598,0.9591591721269052,7.668895888999941,0.5052790641784668,0.9564221509441531
9,158.642481588,0.49595028162002563,0.9608271540524843,7.544075820999751,0.5052790641784668,0.9562295464908376
10,157.86946897399957,0.5003767013549805,0.9584823747120418,7.752338038999369,0.5052790641784668,0.9557600801706674
11,159.00686213600056,0.5090412497520447,0.9552039152306337,7.527960033999989,0.4751131236553192,0.9598783249229328
12,157.3977925679992,0.5252401828765869,0.9500458581139081,7.523578808000821,0.4675716459751129,0.9591336890403321
13,157.74260472199967,0.5482200384140015,0.9387312445696251,7.682805755999652,0.5460030436515808,0.9368177934649483
14,159.9972550700004,0.5940855145454407,0.9000502747540915,7.449326206000478,0.6900452375411987,0.7874241842583474
15,157.70001695499923,0.6740440726280212,0.8062332214373252,7.82519884499925,0.7134238481521606,0.7489422054492151
16,157.14476759799982,0.7283858060836792,0.7256479212671468,7.514651737999884,0.7073906660079956,0.7591138384101258
17,157.24384303400075,0.683367908000946,0.8134666211435767,8.033721815998433,0.6930618286132812,0.7956351629749143
18,157.62293258499994,0.7354492545127869,0.7118037985664097,7.80264289400111,0.7134238481521606,0.7701335722864303
19,158.18098964099954,0.7469391822814941,0.6796691782799206,7.8166561300004105,0.7647058963775635,0.6694353444903505
20,157.67154907000076,0.7588058114051819,0.6679653482240435,7.3074207970003044,0.7579185366630554,0.6605839089210936
