vit_base_16_epoch,vit_base_16_train_time,vit_base_16_train_accuracy,vit_base_16_train_loss,vit_base_16_eval_time,vit_base_16_eval_accuracy,vit_base_16_eval_loss
1,157.98134321899988,0.4718402922153473,1.6882035541071867,7.917628617999981,0.5052790641784668,0.9605972324561209
2,157.71074800300016,0.4853079915046692,0.9802498810932133,7.581888525000068,0.5052790641784668,0.9560303842679767
3,157.8724770650001,0.49783387780189514,0.9666688429431337,7.8171947729997555,0.5052790641784668,0.9560857617477486
4,158.26750515599997,0.4958561062812805,0.9631256982866576,7.466723818999981,0.4193061888217926,0.9838834208061252
5,157.75547780399984,0.5118666291236877,0.9570817521880813,7.804857798000285,0.4954751133918762,0.9478491442235886
6,158.43774531600002,0.6845922470092773,0.8043795857283103,7.51506363999988,0.6726998686790466,0.8425662762079483
7,158.01289497900007,0.6932567358016968,0.7892411386344724,7.798453895000421,0.7141779661178589,0.7508490535108931
8,157.9093625280002,0.7261254787445068,0.745899547822598,7.783006881999881,0.7541478276252747,0.6849187733001478
9,158.2575291449998,0.6883593797683716,0.7768511958076447,7.702331941000011,0.7435897588729858,0.7308474367380502
10,158.24805641400008,0.728009045124054,0.74067957475599,7.498568965999766,0.7224736213684082,0.743059173069029
11,158.19888744599984,0.7498587369918823,0.6951420112032521,7.731329307000124,0.6380090713500977,0.8626471328159983
12,158.91097937099994,0.757958173751831,0.6825059107814407,7.753439479999997,0.7609351277351379,0.6688125169474974
13,159.3260197499999,0.7583349347114563,0.6778113029168855,7.671762573999786,0.766968309879303,0.6459620326173072
14,159.90006033600002,0.7178376317024231,0.755879245654947,7.54052936800008,0.7481146454811096,0.6954175472978733
15,160.50666685399983,0.6565266847610474,0.801748728826235,7.818842380000206,0.5369532704353333,0.9463428907984163
16,159.49549823300003,0.5704464316368103,0.9160319924646457,7.758287648999612,0.7021116018295288,0.7797650539317642
17,159.0693338860001,0.7313053607940674,0.723708817257812,7.5544868560000396,0.7307692170143127,0.7104363128610326
18,160.45276997200017,0.7578639984130859,0.6789516332313871,7.6049392079994504,0.773755669593811,0.6642337149264765
19,159.39318043999992,0.747786819934845,0.6941106349628374,7.511220461999983,0.7503770589828491,0.6890119761902822
20,160.23563241600004,0.772179365158081,0.6617481610626347,7.799210528999538,0.7692307829856873,0.6375596604196194
