resnet152_aug_pretrained_epoch,resnet152_aug_pretrained_train_time,resnet152_aug_pretrained_train_accuracy,resnet152_aug_pretrained_train_loss,resnet152_aug_pretrained_eval_time,resnet152_aug_pretrained_eval_accuracy,resnet152_aug_pretrained_eval_loss
1,86.74219093899956,0.7779242992401123,1.1135856938192452,10.841284858999643,0.8529412150382996,0.6973927374167135
2,84.79557853899951,0.795441746711731,1.77111191540412,10.407399198999883,0.8552036285400391,1.002466510960953
3,83.27421305899952,0.8278395533561707,1.626073891790942,10.440657648000524,0.8559578061103821,1.0058750337078257
4,86.8259586690001,0.8377283811569214,1.449944112834148,10.804106491999846,0.8740573525428772,0.8838664203895211
5,85.48229628800073,0.8527029752731323,1.1305010778162137,10.789005229000395,0.7782805562019348,3.089944487643644
6,85.430620653,0.859954833984375,1.0369044517871846,10.554095720999612,0.849924623966217,1.078120682681009
7,85.45587568100018,0.8602373600006104,1.0320165366309555,10.53488698900037,0.877828061580658,0.796020441106965
8,85.61280364900085,0.8463929295539856,1.3938298173381463,10.480984214000273,0.884615421295166,0.8654115413293471
9,85.46222961400053,0.8492183089256287,1.4805175110254534,10.435018522999599,0.8650075793266296,1.0167489343433413
10,85.9936502670007,0.8647579550743103,1.1487387513432938,10.357476667999435,0.8333333730697632,1.4051588060118385
11,85.45912394200059,0.8782256841659546,1.007420457170099,10.846328083998742,0.7398189902305603,2.0972179289328476
12,85.26955209799962,0.8866076469421387,0.8018052080729943,10.77850570299961,0.8748114705085754,0.9940205104960209
13,85.59774003099847,0.8760595321655273,0.9326044220701122,10.460675663000075,0.8755656480789185,1.0616961130243041
14,87.52529548500024,0.8721981644630432,0.9758916269335136,10.504336574000263,0.8959276080131531,0.7659425071624176
15,87.42343055199854,0.8839706182479858,0.8518488244432603,10.515233265999996,0.8672699928283691,0.9323448771408929
16,85.61961660100133,0.8825579285621643,0.8931908356865956,10.615953477999938,0.8574661016464233,1.0839894037790487
17,86.0714212719995,0.8830288648605347,0.8866647111113329,10.444078320999324,0.8303167819976807,1.2959900305467797
18,85.60574489500141,0.8902806639671326,0.792081853050073,10.763414099001238,0.7247360348701477,3.2240631045876293
19,84.87306001400066,0.8872669339179993,0.875149237739698,10.829587986998376,0.8748114705085754,0.855984640533356
20,85.8377788430007,0.8629685640335083,1.2184871285256043,10.54314468099983,0.8936651945114136,0.8766678725196566
