resnet152_aug_epoch,resnet152_aug_train_time,resnet152_aug_train_accuracy,resnet152_aug_train_loss,resnet152_aug_eval_time,resnet152_aug_eval_accuracy,resnet152_aug_eval_loss
1,265.9060094100005,0.679412305355072,0.9825405532872751,10.338260234999325,0.6734539866447449,1.4413161845048987
2,266.5651228810002,0.8457337021827698,0.44319686295286054,10.659145464000176,0.9117647409439087,0.24571517727943207
3,266.0468436020001,0.9022414684295654,0.27898550498441216,10.367119796001134,0.9268476963043213,0.193717218294942
4,257.2470523360007,0.931908130645752,0.19419975289125904,10.340092051999818,0.924585223197937,0.20965948808786555
5,266.09175118299936,0.948577880859375,0.1495116757294579,10.388883683999666,0.9260935187339783,0.2161243013985986
6,266.19686172,0.9508382081985474,0.14327540907364658,10.581841650999195,0.9283559918403625,0.1965807816617719
7,267.839103839,0.9579017162322998,0.12421819655611314,10.72793409299993,0.9645550847053528,0.08910778845375232
8,268.023270099,0.9643059372901917,0.10364839409406612,10.752213053998275,0.9766214489936829,0.08229602366927477
9,267.3748674589988,0.9717460870742798,0.08538082037823629,10.399763322999206,0.9668174982070923,0.08934003485174959
10,265.7859565990002,0.9772085547447205,0.06514420396994633,10.450882114999331,0.9570136070251465,0.12507988857934152
11,267.4323855250004,0.9836127758026123,0.04727612660338777,10.692451765000442,0.953997015953064,0.1395993201570588
12,268.0604233660015,0.976643443107605,0.07315179054545909,10.409754234999127,0.9720965623855591,0.08673184104881855
13,256.3377389590005,0.9795630574226379,0.05956013035166222,10.688148544000796,0.9773755669593811,0.06259602752591793
14,267.8049925590003,0.9817291498184204,0.05655150305407666,10.51401535199875,0.9781297445297241,0.061230965083247955
15,266.1812468450007,0.9874741435050964,0.036945369557563404,10.611251164998976,0.9758672714233398,0.07547070389805954
16,266.3920744650004,0.9894518852233887,0.03241545590578637,10.606467812998744,0.9758672714233398,0.06979634156509451
17,268.26844222399995,0.9902995228767395,0.027276486222906206,10.566068037998775,0.9690799713134766,0.07562356803271755
18,265.6660866729999,0.9911471605300903,0.024927101134000478,10.8218917159993,0.9803921580314636,0.06979471890425998
19,266.96380589599903,0.9872857928276062,0.034995978652862865,10.384952780001186,0.9728506803512573,0.1081727207690561
20,265.7161178820006,0.9873799681663513,0.0354040008363065,10.483061479999378,0.9781297445297241,0.06420829991091778
