resnet152_pretrained_epoch,resnet152_pretrained_train_time,resnet152_pretrained_train_accuracy,resnet152_pretrained_train_loss,resnet152_pretrained_eval_time,resnet152_pretrained_eval_accuracy,resnet152_pretrained_eval_loss
1,87.884777504,0.7805613279342651,1.0924966347527147,10.458719760999998,0.8634992837905884,0.6504368430107472
2,85.615359859,0.8034470081329346,1.4714128434180724,10.556898826000008,0.8642534017562866,0.8177544039551717
3,85.83400767399996,0.8341495990753174,1.1636773876676039,10.752676775999987,0.8665158748626709,0.7644490416818066
4,85.65850785700002,0.837445855140686,1.1711884901164102,10.561575017999985,0.766968309879303,1.4461513105021342
5,85.71671773199995,0.8568468689918518,0.9746358704747332,10.392176978000066,0.8001508712768555,2.104089976715108
6,85.67499235799994,0.8615558743476868,0.9197715835183532,10.317642010999975,0.837858259677887,0.95886211188968
7,85.642791009,0.8582595586776733,0.9873565520604226,10.535033487000078,0.8808446526527405,0.6836394858731801
8,85.39945273500007,0.836409866809845,1.4674992953393489,10.800116475999971,0.8883861303329468,0.8744572529271075
9,87.56892679700002,0.8443210124969482,1.6026484349275931,10.722824131000039,0.8755656480789185,1.006250243466384
10,85.58363772899997,0.8666415810585022,1.0941290979057108,10.723713404999899,0.8318250775337219,1.285953645182196
11,85.70846566599994,0.8785082101821899,0.9399005348338091,10.57827051900017,0.8159879446029663,1.3924613602875224
12,87.22526647199993,0.884253203868866,0.8113925759371523,10.60004288999994,0.8544495105743408,1.285131605395391
13,87.91662140799986,0.8762478828430176,0.8647118887235936,10.612600817999919,0.883861243724823,0.9042568143689632
14,85.64996850600005,0.8696553111076355,1.041879494978596,10.492001897999899,0.8936651945114136,0.795464657314856
15,85.46406909099983,0.8826521039009094,0.8824292345672665,10.476357288000145,0.8657616972923279,0.9305024112307071
16,86.97500598199986,0.8844415545463562,0.8691808732138383,10.290872528000136,0.8627451062202454,0.9816390554026277
17,87.48924008900008,0.8851949572563171,0.8923931119399005,10.292905613999892,0.8205128312110901,1.2807279529322506
18,86.20610331500006,0.8901864886283875,0.7660444192207251,10.630896407999899,0.7398189902305603,2.9497377742977022
19,85.60055661299998,0.8821812272071838,0.9585203000433337,10.665305664000016,0.8665158748626709,0.8876898563243969
20,85.49603462599998,0.8591071963310242,1.2930387835436186,10.607289843000217,0.9004524946212769,0.8660340896232185
